time,lat,lon,depth,Nitrate_Nitrite,SRP,Nitrate_Nitrite_below_detection_flag
2019-04-15T10:28:33.000Z,38.0295094849503,-158,6,,,1
2019-04-15T10:34:27.000Z,38.0487126303387,-158,6,,,1
2019-04-15T10:37:29.000Z,38.0583791742174,-158,6,,,1
2019-04-15T10:40:30.000Z,38.0679712371307,-158,6,,,1
2019-04-15T10:43:32.000Z,38.0775620851903,-158,6,,,1
2019-04-15T10:46:33.000Z,38.087135351549,-158,6,,,1
2019-04-15T10:49:26.000Z,38.0966866493355,-158,6,,,1
2019-04-15T10:52:27.000Z,38.1062347607669,-158,6,,,1
2019-04-15T10:55:29.000Z,38.1157707843568,-158,6,,,1
2019-04-15T10:58:30.000Z,38.1253585846207,-158,6,,,1
2019-04-15T11:01:32.000Z,38.1350524808712,-158,6,,,1
2019-04-15T11:04:33.000Z,38.1447474891413,-158,6,,,1
2019-04-15T11:10:27.000Z,38.1638615248534,-158,6,,,1
2019-04-15T11:13:29.000Z,38.1733530026273,-158,6,,,1
2019-04-15T11:16:30.000Z,38.1828180897472,-158,6,,,1
2019-04-15T11:19:32.000Z,38.1921614012064,-158,6,,,1
2019-04-15T11:22:33.000Z,38.2015536619069,-158,6,,,1
2019-04-15T11:25:26.000Z,38.2109383190539,-158,6,,,1
2019-04-15T11:28:27.000Z,38.2202594078571,-158,6,,,1
2019-04-15T11:31:29.000Z,38.2296402169183,-158,6,,,1
2019-04-15T11:34:30.000Z,38.2389462926546,-158,6,,,1
2019-04-15T11:37:32.000Z,38.2483421846346,-158,6,,,1
2019-04-15T14:28:27.000Z,38.7562848297367,-158,6,,,1
2019-04-15T15:13:32.000Z,38.8942377413356,-158,6,1.05978761607202,,0
2019-04-15T15:16:33.000Z,38.9035861894168,-158,6,1.08764122968712,,0
2019-04-15T15:19:26.000Z,38.9129648160469,-158,6,0.702190253224148,,0
2019-04-15T15:28:30.000Z,38.9411188475966,-158,6,,,1
2019-04-15T15:31:32.000Z,38.9505186721142,-158,6,0.546618919705458,,0
2019-04-15T15:34:33.000Z,38.9599262531537,-158,6,0.602308335490491,,0
2019-04-15T15:40:27.000Z,38.9788115224792,-158,6,0.628415403134946,,0
2019-04-15T15:43:29.000Z,38.9882890062116,-158,6,0.650290896834497,,0
2019-04-15T15:46:30.000Z,38.9977246491618,-158,6,0.583143992515947,,0
2019-04-15T15:49:32.000Z,39.0070872078988,-158,6,0.514804677159326,,0
2019-04-15T15:52:33.000Z,39.0165367461885,-158,6,0.51506221274491,,0
2019-04-15T15:55:26.000Z,39.0260382485019,-158,6,0.558810513177707,,0
2019-04-15T15:58:27.000Z,39.0355245193951,-158,6,0.585133160202092,,0
2019-04-15T16:01:29.000Z,39.0442108940007,-158,6,,,1
2019-04-15T16:04:30.000Z,39.0500206482472,-158,6,,,1
2019-04-15T16:07:32.000Z,39.055550617579,-158,6,,,1
2019-04-15T16:16:27.000Z,39.0727546807447,-158,6,,,1
2019-04-15T16:19:29.000Z,39.0811141004438,-158,6,,,1
2019-04-15T16:22:30.000Z,39.0903687797668,-158,6,,,1
2019-04-15T16:25:32.000Z,39.099973331251,-158,6,,,1
2019-04-15T16:28:33.000Z,39.1095909976259,-158,6,,,1
2019-04-15T16:31:26.000Z,39.1192842429842,-158,6,,,1
2019-04-15T16:34:27.000Z,39.1289804464944,-158,6,,,1
2019-04-15T16:37:29.000Z,39.1385358893489,-158,6,,,1
