Rep,Compound,Area,Cruise
220623_Poo_TruePooG3-CXSPE_Full3,"DL-Histidine, 15N",44578252,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,"DL-Histidine, 15N",14132310,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,"DL-Histidine, 15N",17845356,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,"DL-Histidine, 15N",20859468,KM1906
220623_Smp_CXSPE_Blk1_A,"DL-Histidine, 15N",7941735,KM1906
220623_Smp_CXSPE_Blk1_B,"DL-Histidine, 15N",10689120,KM1906
220623_Smp_CXSPE_Blk1_C,"DL-Histidine, 15N",73205080,KM1906
220623_Smp_CXSPE_Blk2_A,"DL-Histidine, 15N",19318134,KM1906
220623_Smp_CXSPE_Blk2_B,"DL-Histidine, 15N",24440750,KM1906
220623_Smp_CXSPE_Blk2_C,"DL-Histidine, 15N",8121690,KM1906
220623_Smp_CXSPE_Blk3_A,"DL-Histidine, 15N",4212079,KM1906
220623_Smp_CXSPE_Blk3_B,"DL-Histidine, 15N",44918428,KM1906
220623_Smp_CXSPE_Blk3_C,"DL-Histidine, 15N",15953227,KM1906
220623_Smp_CXSPE_Blk4_A,"DL-Histidine, 15N",3727163,KM1906
220623_Smp_CXSPE_Blk4_B,"DL-Histidine, 15N",7439823,KM1906
220623_Smp_CXSPE_Blk4_C,"DL-Histidine, 15N",12424208,KM1906
220623_Smp_MQBlk_1,"DL-Histidine, 15N",44852112,KM1906
220623_Smp_MQBlk_2,"DL-Histidine, 15N",80428648,KM1906
220623_Smp_MQBlk_3,"DL-Histidine, 15N",5022795,KM1906
220623_Smp_MQBlk_4,"DL-Histidine, 15N",22622452,KM1906
220623_Smp_MQBlk_5,"DL-Histidine, 15N",35239492,KM1906
220623_Smp_MQBlk_6,"DL-Histidine, 15N",26691912,KM1906
220623_Smp_MU1_A,"DL-Histidine, 15N",85508400,KM1906
220623_Smp_MU1_B,"DL-Histidine, 15N",21244812,KM1906
220623_Smp_MU1_C,"DL-Histidine, 15N",9415538,KM1906
220623_Smp_MU10_A,"DL-Histidine, 15N",3461113,KM1906
220623_Smp_MU10_B,"DL-Histidine, 15N",17489650,KM1906
220623_Smp_MU10_C,"DL-Histidine, 15N",61973876,KM1906
220623_Smp_MU11_A,"DL-Histidine, 15N",16493573,KM1906
220623_Smp_MU11_B,"DL-Histidine, 15N",66668140,KM1906
220623_Smp_MU11_C,"DL-Histidine, 15N",38632708,KM1906
220623_Smp_MU12_A,"DL-Histidine, 15N",107078816,KM1906
220623_Smp_MU12_B,"DL-Histidine, 15N",9556537,KM1906
220623_Smp_MU12_C,"DL-Histidine, 15N",55395656,KM1906
220623_Smp_MU13_A,"DL-Histidine, 15N",23385718,KM1906
220623_Smp_MU13_B,"DL-Histidine, 15N",31101756,KM1906
220623_Smp_MU13_C,"DL-Histidine, 15N",3815300,KM1906
220623_Smp_MU14_A,"DL-Histidine, 15N",80746000,KM1906
220623_Smp_MU14_B,"DL-Histidine, 15N",25006106,KM1906
220623_Smp_MU14_C,"DL-Histidine, 15N",20967714,KM1906
220623_Smp_MU15_A,"DL-Histidine, 15N",23240236,KM1906
220623_Smp_MU15_B,"DL-Histidine, 15N",9570538,KM1906
220623_Smp_MU15_C,"DL-Histidine, 15N",11529976,KM1906
220623_Smp_MU16_A,"DL-Histidine, 15N",25226994,KM1906
220623_Smp_MU16_B,"DL-Histidine, 15N",48431412,KM1906
220623_Smp_MU16_C,"DL-Histidine, 15N",14793181,KM1906
220623_Smp_MU17_A,"DL-Histidine, 15N",17328442,KM1906
220623_Smp_MU17_B,"DL-Histidine, 15N",34076024,KM1906
220623_Smp_MU2_A,"DL-Histidine, 15N",47792324,KM1906
220623_Smp_MU2_B,"DL-Histidine, 15N",15133293,KM1906
220623_Smp_MU2_C,"DL-Histidine, 15N",79145224,KM1906
220623_Smp_MU3_A,"DL-Histidine, 15N",26137570,KM1906
