Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.lod.flag,Blk.Av
220623_Smp_MU10_C,MU10,C,KM1906,Glycine betaine,3659027456,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,Glycine betaine,5476325888,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,Glycine betaine,8650771456,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,Glycine betaine,1289694592,NA,Flag,1254019097.3333333
220623_Smp_MU12_C,MU12,C,KM1906,Glycine betaine,3688810752,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,Glycine betaine,4753373696,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,Glycine betaine,4426294272,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,Glycine betaine,2224166912,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,Glycine betaine,3098132224,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,Glycine betaine,4891537408,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,Glycine betaine,747879104,NA,Flag,1254019097.3333333
220623_Smp_MU7_B,MU7,B,KM1906,Glycine betaine,2521616640,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,Glycine betaine,4823606272,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,Glycine betaine,5354044928,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,Gonyol,3645835,NA,NA,NA
220623_Smp_MU10_A,MU10,A,KM1906,Gonyol,1071494,NA,NA,NA
220623_Smp_MU10_B,MU10,B,KM1906,Gonyol,2370351,NA,NA,NA
220623_Smp_MU10_C,MU10,C,KM1906,Gonyol,3644782,NA,NA,NA
220623_Smp_MU11_A,MU11,A,KM1906,Gonyol,1715564,NA,NA,NA
220623_Smp_MU11_B,MU11,B,KM1906,Gonyol,2798712,NA,NA,NA
220623_Smp_MU11_C,MU11,C,KM1906,Gonyol,1895100,NA,NA,NA
220623_Smp_MU12_A,MU12,A,KM1906,Gonyol,3963543,NA,NA,NA
220623_Smp_MU12_B,MU12,B,KM1906,Gonyol,1179108,NA,NA,NA
220623_Smp_MU12_C,MU12,C,KM1906,Gonyol,3844043,NA,NA,NA
220623_Smp_MU13_A,MU13,A,KM1906,Gonyol,654075,NA,NA,NA
220623_Smp_MU13_B,MU13,B,KM1906,Gonyol,743427,NA,NA,NA
220623_Smp_MU13_C,MU13,C,KM1906,Gonyol,1439322,NA,NA,NA
220623_Smp_MU14_A,MU14,A,KM1906,Gonyol,4318360,NA,NA,NA
220623_Smp_MU14_B,MU14,B,KM1906,Gonyol,3226747,NA,NA,NA
220623_Smp_MU14_C,MU14,C,KM1906,Gonyol,1566861,NA,NA,NA
220623_Smp_MU15_A,MU15,A,KM1906,Gonyol,532383,NA,NA,NA
220623_Smp_MU15_B,MU15,B,KM1906,Gonyol,1595780,NA,NA,NA
220623_Smp_MU15_C,MU15,C,KM1906,Gonyol,459357,NA,Flag,257890.33333333337
220623_Smp_MU16_A,MU16,A,KM1906,Gonyol,2308535,NA,NA,NA
220623_Smp_MU16_B,MU16,B,KM1906,Gonyol,764859,NA,NA,NA
220623_Smp_MU16_C,MU16,C,KM1906,Gonyol,3000292,NA,NA,NA
220623_Smp_MU17_B,MU17,B,KM1906,Gonyol,1186278,NA,NA,NA
220623_Smp_MU2_A,MU2,A,KM1906,Gonyol,1131620,NA,NA,NA
220623_Smp_MU2_B,MU2,B,KM1906,Gonyol,548345,NA,NA,NA
220623_Smp_MU2_C,MU2,C,KM1906,Gonyol,962022,NA,NA,NA
220623_Smp_MU3_A,MU3,A,KM1906,Gonyol,565266,NA,NA,NA
220623_Smp_MU3_B,MU3,B,KM1906,Gonyol,992728,NA,NA,NA
220623_Smp_MU3_C,MU3,C,KM1906,Gonyol,1264240,NA,NA,NA
220623_Smp_MU4_A,MU4,A,KM1906,Gonyol,1084057,NA,NA,NA
220623_Smp_MU4_B,MU4,B,KM1906,Gonyol,791757,NA,NA,NA
220623_Smp_MU4_C,MU4,C,KM1906,Gonyol,708391,NA,NA,NA
220623_Smp_MU5_A,MU5,A,KM1906,Gonyol,499560,NA,Flag,257890.33333333337
220623_Smp_MU5_B,MU5,B,KM1906,Gonyol,611594,NA,NA,NA
220623_Smp_MU5_C,MU5,C,KM1906,Gonyol,795269,NA,NA,NA
220623_Smp_MU6_A,MU6,A,KM1906,Gonyol,1113233,NA,NA,NA
220623_Smp_MU6_B,MU6,B,KM1906,Gonyol,1120164,NA,NA,NA
220623_Smp_MU6_C,MU6,C,KM1906,Gonyol,1709727,NA,NA,NA
220623_Smp_MU7_A,MU7,A,KM1906,Gonyol,553448,NA,NA,NA
220623_Smp_MU7_B,MU7,B,KM1906,Gonyol,964972,NA,NA,NA
220623_Smp_MU7_C,MU7,C,KM1906,Gonyol,1264156,NA,NA,NA
220623_Smp_MU8_A,MU8,A,KM1906,Gonyol,697331,NA,NA,NA
220623_Smp_MU8_B,MU8,B,KM1906,Gonyol,2071664,NA,NA,NA
220623_Smp_MU8_C,MU8,C,KM1906,Gonyol,574932,NA,NA,NA
220623_Smp_MU9_A,MU9,A,KM1906,Gonyol,789812,NA,NA,NA
220623_Smp_MU9_B,MU9,B,KM1906,Gonyol,478426,NA,Flag,257890.33333333337
220623_Smp_MU9_C,MU9,C,KM1906,Gonyol,807399,NA,NA,NA
220623_Smp_MU1_A,MU1,A,KM1906,Homarine,4633447,NA,NA,NA
220623_Smp_MU1_B,MU1,B,KM1906,Homarine,3863716,NA,NA,NA
220623_Smp_MU1_C,MU1,C,KM1906,Homarine,8696127,NA,NA,NA
