Rep,SampID,replicate,Cruise,Compound,Area,min.area.flag,blk.ratio.flag
220628_Smp_MU21_C,MU21,C,KM1906,Dimethylsulfonioacetate,567773120,NA,NA
220628_Smp_MU22_A,MU22,A,KM1906,Dimethylsulfonioacetate,361557536,NA,NA
220628_Smp_MU22_B,MU22,B,KM1906,Dimethylsulfonioacetate,731025984,NA,NA
220628_Smp_MU22_C,MU22,C,KM1906,Dimethylsulfonioacetate,481640576,NA,NA
220628_Smp_MU23_A,MU23,A,KM1906,Dimethylsulfonioacetate,675852928,NA,NA
220628_Smp_MU23_B,MU23,B,KM1906,Dimethylsulfonioacetate,613035072,NA,NA
220628_Smp_MU23_C,MU23,C,KM1906,Dimethylsulfonioacetate,702897600,NA,NA
220628_Smp_MU24_A,MU24,A,KM1906,Dimethylsulfonioacetate,355670432,NA,NA
220628_Smp_MU24_B,MU24,B,KM1906,Dimethylsulfonioacetate,564573184,NA,NA
220628_Smp_MU24_C,MU24,C,KM1906,Dimethylsulfonioacetate,484641024,NA,NA
220628_Smp_MU3_A,MU3,A,KM1906,Dimethylsulfonioacetate,287530976,NA,NA
220628_Smp_MU3_B,MU3,B,KM1906,Dimethylsulfonioacetate,519098592,NA,NA
220628_Smp_MU3_C,MU3,C,KM1906,Dimethylsulfonioacetate,382913216,NA,NA
220628_Smp_MU4_A,MU4,A,KM1906,Dimethylsulfonioacetate,477400576,NA,NA
220628_Smp_MU4_B,MU4,B,KM1906,Dimethylsulfonioacetate,907997184,NA,NA
220628_Smp_MU4_C,MU4,C,KM1906,Dimethylsulfonioacetate,724865024,NA,NA
220628_Smp_MU5_A,MU5,A,KM1906,Dimethylsulfonioacetate,361888192,NA,NA
220628_Smp_MU5_B,MU5,B,KM1906,Dimethylsulfonioacetate,686512704,NA,NA
220628_Smp_MU5_C,MU5,C,KM1906,Dimethylsulfonioacetate,387326656,NA,NA
220628_Smp_MU6_A,MU6,A,KM1906,Dimethylsulfonioacetate,500781472,NA,NA
220628_Smp_MU6_B,MU6,B,KM1906,Dimethylsulfonioacetate,625533696,NA,NA
220628_Smp_MU6_C,MU6,C,KM1906,Dimethylsulfonioacetate,396831968,NA,NA
220628_Smp_MU7_A,MU7,A,KM1906,Dimethylsulfonioacetate,481751936,NA,NA
220628_Smp_MU7_B,MU7,B,KM1906,Dimethylsulfonioacetate,507718688,NA,NA
220628_Smp_MU7_C,MU7,C,KM1906,Dimethylsulfonioacetate,508099040,NA,NA
220628_Smp_MU8_A,MU8,A,KM1906,Dimethylsulfonioacetate,511971104,NA,NA
220628_Smp_MU8_B,MU8,B,KM1906,Dimethylsulfonioacetate,877345472,NA,NA
