Rep,Compound,Area,Cruise
220628_Smp_MU16_C,Glycine betaine,7702958592,KM1906
220628_Smp_MU17_A,Glycine betaine,12416324608,KM1906
220628_Smp_MU17_B,Glycine betaine,11829807104,KM1906
220628_Smp_MU17_C,Glycine betaine,15396747264,KM1906
220628_Smp_MU18_A,Glycine betaine,5993102848,KM1906
220628_Smp_MU18_B,Glycine betaine,9785389056,KM1906
220628_Smp_MU18_C,Glycine betaine,8294623744,KM1906
220628_Smp_MU19_A,Glycine betaine,10130145280,KM1906
220628_Smp_MU19_B,Glycine betaine,11154471936,KM1906
220628_Smp_MU19_C,Glycine betaine,8891916288,KM1906
220628_Smp_MU2_A,Glycine betaine,2437292800,KM1906
220628_Smp_MU2_B,Glycine betaine,3125865472,KM1906
220628_Smp_MU2_C,Glycine betaine,3378598144,KM1906
220628_Smp_MU20_A,Glycine betaine,5630078464,KM1906
220628_Smp_MU20_B,Glycine betaine,8355725312,KM1906
