Exp,Treatment,Samp_ID,Vol_Filt_L,Spike_time,Filt_time_start,Filt_time_end,Local_Date,Cruise
UKT3,50nM,TN397_UKT3_50nM_A,2,2021-12-03T14:03:00Z,2021-12-03T14:34:00Z,2021-12-03T14:43:00Z,3/12/21,TN397
UKT3,50nM,TN397_UKT3_50nM_B,2,2021-12-03T14:03:00Z,2021-12-03T14:34:00Z,2021-12-03T14:45:00Z,3/12/21,TN397
UKT3,50nM,TN397_UKT3_50nM_C,2,2021-12-03T14:03:00Z,2021-12-03T14:34:00Z,2021-12-03T14:44:00Z,3/12/21,TN397
UKT3,200nM,TN397_UKT3_200nM_A,2,2021-12-03T14:24:00Z,2021-12-03T14:57:00Z,2021-12-03T15:06:00Z,3/12/21,TN397
UKT3,200nM,TN397_UKT3_200nM_B,2,2021-12-03T14:24:00Z,2021-12-03T14:57:00Z,2021-12-03T15:09:00Z,3/12/21,TN397
UKT3,200nM,TN397_UKT3_200nM_C,2,2021-12-03T14:24:00Z,2021-12-03T14:57:00Z,2021-12-03T15:05:00Z,3/12/21,TN397
UKT3,500nM,TN397_UKT3_500nM_A,2,2021-12-03T14:32:00Z,2021-12-03T15:02:00Z,2021-12-03T15:15:00Z,3/12/21,TN397
UKT3,500nM,TN397_UKT3_500nM_B,2,2021-12-03T14:32:00Z,2021-12-03T15:02:00Z,2021-12-03T15:16:00Z,3/12/21,TN397
UKT3,500nM,TN397_UKT3_500nM_C,2,2021-12-03T14:32:00Z,2021-12-03T15:02:00Z,2021-12-03T15:12:00Z,3/12/21,TN397
UKT3,1500nM,TN397_UKT3_1500nM_A,2,2021-12-03T14:54:00Z,2021-12-03T15:27:00Z,2021-12-03T15:35:00Z,3/12/21,TN397
UKT3,1500nM,TN397_UKT3_1500nM_B,2,2021-12-03T14:54:00Z,2021-12-03T15:27:00Z,2021-12-03T15:42:00Z,3/12/21,TN397
UKT3,1500nM,TN397_UKT3_1500nM_C,2,2021-12-03T14:54:00Z,2021-12-03T15:27:00Z,2021-12-03T15:35:00Z,3/12/21,TN397
UKH4,0nM,TN397_UKH4_0nM_A,2,2021-12-05T13:15:00Z,2021-12-05T13:45:00Z,2021-12-05T13:55:00Z,5/12/21,TN397
UKH4,0nM,TN397_UKH4_0nM_B,2,2021-12-05T13:15:00Z,2021-12-05T13:45:00Z,2021-12-05T14:05:00Z,5/12/21,TN397
UKH4,0nM,TN397_UKH4_0nM_C,2,2021-12-05T13:15:00Z,2021-12-05T13:45:00Z,2021-12-05T13:56:00Z,5/12/21,TN397
UKH4,5nM,TN397_UKH4_5nM_A,2,2021-12-05T13:15:00Z,2021-12-05T13:45:00Z,2021-12-05T14:02:00Z,5/12/21,TN397
UKH4,5nM,TN397_UKH4_5nM_B,2,2021-12-05T13:15:00Z,2021-12-05T13:45:00Z,2021-12-05T14:05:00Z,5/12/21,TN397
UKH4,5nM,TN397_UKH4_5nM_C,2,2021-12-05T13:15:00Z,2021-12-05T13:45:00Z,2021-12-05T13:57:00Z,5/12/21,TN397
UKH4,10nM,TN397_UKH4_10nM_A,2,2021-12-05T13:40:00Z,2021-12-05T14:13:00Z,2021-12-05T14:27:00Z,5/12/21,TN397
UKH4,10nM,TN397_UKH4_10nM_B,2,2021-12-05T13:40:00Z,2021-12-05T14:13:00Z,2021-12-05T14:36:00Z,5/12/21,TN397
UKH4,10nM,TN397_UKH4_10nM_C,2,2021-12-05T13:40:00Z,2021-12-05T14:13:00Z,2021-12-05T14:25:00Z,5/12/21,TN397
UKH4,50nM,TN397_UKH4_50nM_A,2,2021-12-05T13:50:00Z,2021-12-05T14:21:00Z,2021-12-05T14:33:00Z,5/12/21,TN397
UKH4,50nM,TN397_UKH4_50nM_B,2,2021-12-05T13:50:00Z,2021-12-05T14:21:00Z,2021-12-05T14:38:00Z,5/12/21,TN397
UKH4,50nM,TN397_UKH4_50nM_C,2,2021-12-05T13:50:00Z,2021-12-05T14:21:00Z,2021-12-05T14:32:00Z,5/12/21,TN397
UKH4,200nM,TN397_UKH4_200nM_A,2,2021-12-05T14:20:00Z,2021-12-05T14:50:00Z,2021-12-05T15:06:00Z,5/12/21,TN397
UKH4,200nM,TN397_UKH4_200nM_B,2,2021-12-05T14:20:00Z,2021-12-05T14:50:00Z,2021-12-05T15:07:00Z,5/12/21,TN397
UKH4,200nM,TN397_UKH4_200nM_C,2,2021-12-05T14:20:00Z,2021-12-05T14:50:00Z,2021-12-05T15:06:00Z,5/12/21,TN397
UKH4,500nM,TN397_UKH4_500nM_A,2,2021-12-05T14:28:00Z,2021-12-05T14:59:00Z,2021-12-05T15:15:00Z,5/12/21,TN397
UKH4,500nM,TN397_UKH4_500nM_B,2,2021-12-05T14:28:00Z,2021-12-05T14:59:00Z,2021-12-05T15:16:00Z,5/12/21,TN397
UKH4,500nM,TN397_UKH4_500nM_C,2,2021-12-05T14:28:00Z,2021-12-05T14:59:00Z,2021-12-05T15:10:00Z,5/12/21,TN397
