Rep,Compound,Area,Cruise
220623_Smp_MU17_B,Dimethylsulfoniopropionate,169684960,KM1906
220623_Smp_MU2_A,Dimethylsulfoniopropionate,36428432,KM1906
220623_Smp_MU2_B,Dimethylsulfoniopropionate,29112318,KM1906
220623_Smp_MU2_C,Dimethylsulfoniopropionate,51335744,KM1906
220623_Smp_MU3_A,Dimethylsulfoniopropionate,43333292,KM1906
220623_Smp_MU3_B,Dimethylsulfoniopropionate,51609956,KM1906
220623_Smp_MU3_C,Dimethylsulfoniopropionate,75097848,KM1906
220623_Smp_MU4_A,Dimethylsulfoniopropionate,55877784,KM1906
220623_Smp_MU4_B,Dimethylsulfoniopropionate,58917840,KM1906
220623_Smp_MU4_C,Dimethylsulfoniopropionate,46068292,KM1906
220623_Smp_MU5_A,Dimethylsulfoniopropionate,34953592,KM1906
220623_Smp_MU5_B,Dimethylsulfoniopropionate,39376860,KM1906
220623_Smp_MU5_C,Dimethylsulfoniopropionate,54295132,KM1906
220623_Smp_MU6_A,Dimethylsulfoniopropionate,44810600,KM1906
220623_Smp_MU6_B,Dimethylsulfoniopropionate,54055912,KM1906
220623_Smp_MU6_C,Dimethylsulfoniopropionate,50226196,KM1906
220623_Smp_MU7_A,Dimethylsulfoniopropionate,43287876,KM1906
220623_Smp_MU7_B,Dimethylsulfoniopropionate,72453328,KM1906
220623_Smp_MU7_C,Dimethylsulfoniopropionate,61206936,KM1906
220623_Smp_MU8_A,Dimethylsulfoniopropionate,76992936,KM1906
220623_Smp_MU8_B,Dimethylsulfoniopropionate,72962904,KM1906
220623_Smp_MU8_C,Dimethylsulfoniopropionate,50731440,KM1906
220623_Smp_MU9_A,Dimethylsulfoniopropionate,51795828,KM1906
220623_Smp_MU9_B,Dimethylsulfoniopropionate,11528272,KM1906
220623_Smp_MU9_C,Dimethylsulfoniopropionate,47428472,KM1906
220623_Std_4uMStdsMix1InH2O_1,Glycine betaine,1992734464,KM1906
220623_Std_4uMStdsMix1InH2O_2,Glycine betaine,2467828480,KM1906
220623_Std_4uMStdsMix1InMatrix_1,Glycine betaine,2644496896,KM1906
220623_Std_4uMStdsMix1InMatrix_2,Glycine betaine,3214760960,KM1906
220623_Std_4uMStdsMix2InH2O_1,Glycine betaine,423703,KM1906
220623_Std_4uMStdsMix2InH2O_2,Glycine betaine,698212,KM1906
220623_Std_4uMStdsMix2InMatrix_1,Glycine betaine,981549312,KM1906
220623_Std_4uMStdsMix2InMatrix_2,Glycine betaine,1165051008,KM1906
220623_Std_H2OinMatrix_1,Glycine betaine,1032321280,KM1906
220623_Std_H2OinMatrix_2,Glycine betaine,1207679872,KM1906
220623_Poo_TruePooG3-CXSPE_Full1,Glycine betaine,1671296512,KM1906
220623_Poo_TruePooG3-CXSPE_Full2,Glycine betaine,1871757696,KM1906
220623_Poo_TruePooG3-CXSPE_Full3,Glycine betaine,2334458368,KM1906
220623_Poo_TruePooG3-CXSPE_Half1,Glycine betaine,830433664,KM1906
220623_Poo_TruePooG3-CXSPE_Half2,Glycine betaine,938015488,KM1906
220623_Poo_TruePooG3-CXSPE_Half3,Glycine betaine,1172077440,KM1906
220623_Smp_CXSPE_Blk1_A,Glycine betaine,361727296,KM1906
220623_Smp_CXSPE_Blk1_B,Glycine betaine,305924640,KM1906
220623_Smp_CXSPE_Blk1_C,Glycine betaine,353454464,KM1906
220623_Smp_CXSPE_Blk2_A,Glycine betaine,1051448192,KM1906
220623_Smp_CXSPE_Blk2_B,Glycine betaine,873798592,KM1906
220623_Smp_CXSPE_Blk2_C,Glycine betaine,203895440,KM1906
220623_Smp_CXSPE_Blk3_A,Glycine betaine,258049536,KM1906
220623_Smp_CXSPE_Blk3_B,Glycine betaine,356337824,KM1906
220623_Smp_CXSPE_Blk3_C,Glycine betaine,334756448,KM1906
220623_Smp_CXSPE_Blk4_A,Glycine betaine,1977436544,KM1906
220623_Smp_CXSPE_Blk4_B,Glycine betaine,2264611328,KM1906
220623_Smp_CXSPE_Blk4_C,Glycine betaine,6706788864,KM1906
220623_Smp_MQBlk_1,Glycine betaine,1590769408,KM1906
220623_Smp_MQBlk_2,Glycine betaine,3675841792,KM1906
220623_Smp_MQBlk_3,Glycine betaine,1000427648,KM1906
220623_Smp_MQBlk_4,Glycine betaine,1110795392,KM1906
220623_Smp_MQBlk_5,Glycine betaine,1575390336,KM1906
220623_Smp_MQBlk_6,Glycine betaine,3491867648,KM1906
220623_Smp_MU1_A,Glycine betaine,3230101248,KM1906
220623_Smp_MU1_B,Glycine betaine,600298304,KM1906
220623_Smp_MU1_C,Glycine betaine,433984256,KM1906
220623_Smp_MU10_A,Glycine betaine,643082560,KM1906
220623_Smp_MU10_B,Glycine betaine,792546752,KM1906
220623_Smp_MU10_C,Glycine betaine,3659027456,KM1906
220623_Smp_MU11_A,Glycine betaine,521805408,KM1906
220623_Smp_MU11_B,Glycine betaine,5476325888,KM1906
220623_Smp_MU11_C,Glycine betaine,208555456,KM1906
220623_Smp_MU12_A,Glycine betaine,8650771456,KM1906
220623_Smp_MU12_B,Glycine betaine,1289694592,KM1906
220623_Smp_MU12_C,Glycine betaine,3688810752,KM1906
220623_Smp_MU13_A,Glycine betaine,846964480,KM1906
