sample_id,analyte_short,concentration,units,sample_fration,sample_type,analyte_long,station,cast,depth_m,parent_id,collection_timestamp_UTC
S7_C2_D4_B,PO4,1.583220752,umol/L,dissolved,nutrients,phosphate,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_B,Si(OH)4,26.99433372,umol/L,dissolved,nutrients,silicate,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_B,NO3,14.76772303,umol/L,dissolved,nutrients,nitrate,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_B,NO2,0.590731187,umol/L,dissolved,nutrients,nitrite,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_B,NH4,4.543966487,umol/L,dissolved,nutrients,ammonium,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_C,PO4,1.623919342,umol/L,dissolved,nutrients,phosphate,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_C,Si(OH)4,27.05940869,umol/L,dissolved,nutrients,silicate,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_C,NO3,14.74506772,umol/L,dissolved,nutrients,nitrate,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_C,NO2,0.603759699,umol/L,dissolved,nutrients,nitrite,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D4_C,NH4,4.420307462,umol/L,dissolved,nutrients,ammonium,7,2,15,S7_C2_D4,2022-06-08T17:30:00Z
S7_C2_D3_A,PO4,1.843012404,umol/L,dissolved,nutrients,phosphate,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_A,Si(OH)4,31.73465942,umol/L,dissolved,nutrients,silicate,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_A,NO3,18.13603107,umol/L,dissolved,nutrients,nitrate,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_A,NO2,0.695661761,umol/L,dissolved,nutrients,nitrite,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_A,NH4,4.341984539,umol/L,dissolved,nutrients,ammonium,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_B,PO4,1.820967456,umol/L,dissolved,nutrients,phosphate,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_B,Si(OH)4,31.07448637,umol/L,dissolved,nutrients,silicate,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_B,NO3,17.83334325,umol/L,dissolved,nutrients,nitrate,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_B,NO2,0.685045521,umol/L,dissolved,nutrients,nitrite,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_B,NH4,3.854973734,umol/L,dissolved,nutrients,ammonium,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_C,PO4,1.824174972,umol/L,dissolved,nutrients,phosphate,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_C,Si(OH)4,31.82167711,umol/L,dissolved,nutrients,silicate,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_C,NO3,17.86809317,umol/L,dissolved,nutrients,nitrate,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_C,NO2,0.690834181,umol/L,dissolved,nutrients,nitrite,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
S7_C2_D3_C,NH4,3.919634094,umol/L,dissolved,nutrients,ammonium,7,2,30,S7_C2_D3,2022-06-08T17:30:00Z
