numbered,parent_id,sample_id,am_sample_id,vol_l,c_counts,c_mol,c_mol_l,h_counts,h_mol,h_mol_l,n_counts,n_mol,n_mol_l,station,depth_m,cast,sample_type,local_date,collection_timestamp_utc,vol_filt_l,approximate_salinity,lat_n,long_w,notes,x12
64,S2_C6_D1,S2_C6_D1_C,F4,1,3359,1.216300929479506e-5,1.216300929479506e-5,9004,1.1259213477907405e-4,1.1259213477907405e-4,257,8.100974757646236e-6,8.100974757646236e-6,2,4,6,POCPN,2022-06-05T00:00:00Z,2022-06-05T15:33:00Z,1,30,NA,NA,"""HPLC and POC from same 2L. POC may be overestimated""",NA
65,S6_C1_D2,S6_C1_D2_A,F5,0.6,8298,3.014882993390115e-5,5.0248049889835255e-5,8169,1.0121495937777686e-4,1.6869159896296142e-4,307,7.282389952232706e-6,1.213731658705451e-5,6,4,1,POCPN,2022-06-07T00:00:00Z,2022-06-08T00:07:00Z,0.6,21,NA,NA,NA,NA
66,S6_C1_D2,S6_C1_D2_C,F6,0.6,10305,3.745750416404611e-5,6.242917360674352e-5,9818,1.2368317762536854e-4,2.0613862937561423e-4,380,8.898972400288886e-6,1.4831620667148144e-5,6,4,1,POCPN,2022-06-07T00:00:00Z,2022-06-08T00:07:00Z,0.6,21,NA,NA,NA,NA
67,S5_C3_D1,S5_C3_D1_A,F7,1,3353,1.2141159745527064e-5,1.2141159745527064e-5,8253,1.0235948959778758e-4,1.0235948959778758e-4,235,7.364738603316222e-6,7.364738603316222e-6,5,30,3,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:42:00Z,1,29.9,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
68,Blk,Blk3,F8,0.25,675,2.3889775889111236e-6,9.555910355644494e-6,2419,2.286914074608955e-5,9.14765629843582e-5,49,1.6454287173491148e-6,6.581714869396459e-6,NA,0,NA,POCPN,2022-06-08T00:00:00Z,2022-06-09T03:08:00Z,0.25,NA,NA,NA,NA,NA
69,S5_Uway,S5_Uway_B,F9,1,19168,6.973293002442216e-5,6.973293002442216e-5,14089,1.8187708916900968e-4,1.8187708916900968e-4,1389,1.3086009171451984e-5,1.3086009171451984e-5,5,0,NA,POCPN,2022-06-07T00:00:00Z,2022-06-07T15:00:00Z,1,29,NA,NA,NA,NA
70,S2_C2_D1,S2_C2_D1_A,F10,1.5,2163,7.807665807374349e-6,5.205110538249566e-6,9541,1.1990895297128552e-4,7.993930198085701e-5,143,8.627417919930146e-6,5.751611946620097e-6,2,135,2,POCPN,2022-06-04T00:00:00Z,2022-06-04T13:31:00Z,1.5,32.8,NA,NA,NA,NA
71,S3_C1_D2,S3_C1_D2_B,F11,1,1939,6.991949301369132e-6,6.991949301369132e-6,7781,9.59283197901082e-5,9.59283197901082e-5,140,6.902017611513604e-6,6.902017611513604e-6,3,100,1,POCPN,2022-06-05T00:00:00Z,2022-06-05T16:40:00Z,1,31.7,NA,NA,NA,NA
72,S3_C1_D1,S3_C1_D1_A,F12,1,1860,6.704263569340505e-6,6.704263569340505e-6,9431,1.1841016339746196e-4,1.1841016339746196e-4,121,8.519580400654113e-6,8.519580400654113e-6,3,230,1,POCPN,2022-06-05T00:00:00Z,2022-06-05T16:40:00Z,1,33,NA,NA,NA,NA
73,UNT2,UNT2-B,G1,0.6,10732,3.9187819502296e-5,6.531303250382666e-5,11009,1.413908410649063e-4,2.3565140177484383e-4,797,1.017303417042997e-5,1.6955056950716617e-5,NA,0,NA,POCPN,2022-06-09T00:00:00Z,2022-06-09T13:40:00Z,0.6,28,NA,NA,NA,NA
74,S2_C6_D1,S2_C6_D1_A,G2,1,4705,1.7102062110480174e-5,1.7102062110480174e-5,10502,1.3426931748803815e-4,1.3426931748803815e-4,367,9.660642404829362e-6,9.660642404829362e-6,2,4,6,POCPN,2022-06-05T00:00:00Z,2022-06-05T13:33:00Z,1,30,NA,NA,"""HPLC and POC from same 2L. POC may be overestimated""",NA
75,S3_C2_D4,S3_C2_D4_B,G3,1,2658,9.600893140669818e-6,9.600893140669818e-6,9669,1.2256866829764138e-4,1.2256866829764138e-4,198,8.818783744582208e-6,8.818783744582208e-6,3,4,2,POCPN,2022-06-05T00:00:00Z,2022-06-05T18:33:00Z,1,30,NA,NA,NA,NA
76,Blk,Blk2,G4,0.25,504,1.7076259394135915e-6,6.830503757654366e-6,2825,2.6435123208715173e-5,1.0574049283486068e-4,46,1.9020002262970768e-6,7.608000905188307e-6,NA,0,NA,POCPN,2022-06-08T00:00:00Z,2022-06-09T03:08:00Z,0.25,NA,NA,NA,NA,NA
77,S2_C9_D1,S2_C9_D1_B,G5,1,3935,1.4280420631850972e-5,1.4280420631850972e-5,7711,9.506582182129455e-5,9.506582182129455e-5,300,6.839961107410628e-6,6.839961107410628e-6,2,10,9,POCPN,2022-06-06T00:00:00Z,2022-06-06T13:50:00Z,1,29.9,NA,NA,"""HPLC and POC from same 2L, POC may be over-estimated""",NA
78,S3_C1_D1,S3_C1_D1_B,G6,1,2433,8.77638751379765e-6,8.77638751379765e-6,8835,1.1085397270965707e-4,1.1085397270965707e-4,150,7.9759144496889e-6,7.9759144496889e-6,3,230,1,POCPN,2022-06-05T00:00:00Z,2022-06-05T16:40:00Z,1,33,NA,NA,NA,NA
